algorithm,base_algorithm,execution_type,threads,size,data_type,sample,time_ns,time_ms,sorted
SelectionSortSerial,SelectionSort,SERIAL,1,2000,RANDOM,5,2238089,2.238089,true
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,RANDOM,5,17960036,17.960036,true
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,RANDOM,5,18433265,18.433265,true
SelectionSortParallel,SelectionSort,PARALLEL,8,2000,RANDOM,5,26490891,26.490891,true
SelectionSortParallel,SelectionSort,PARALLEL,16,2000,RANDOM,5,25406313,25.406313,true
SelectionSortSerial,SelectionSort,SERIAL,1,5000,RANDOM,1,6904472,6.904472,true
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,RANDOM,1,38373126,38.373126,true
SelectionSortParallel,SelectionSort,PARALLEL,4,5000,RANDOM,1,38779545,38.779545,true
SelectionSortParallel,SelectionSort,PARALLEL,8,5000,RANDOM,1,70374678,70.374678,true
SelectionSortParallel,SelectionSort,PARALLEL,16,5000,RANDOM,1,104187693,104.187693,true
SelectionSortSerial,SelectionSort,SERIAL,1,5000,RANDOM,2,4993535,4.993535,true
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,RANDOM,2,34399534,34.399534,true
SelectionSortParallel,SelectionSort,PARALLEL,4,5000,RANDOM,2,39913208,39.913208,true
SelectionSortParallel,SelectionSort,PARALLEL,8,5000,RANDOM,2,58642728,58.642728,true
SelectionSortParallel,SelectionSort,PARALLEL,16,5000,RANDOM,2,64835785,64.835785,true
SelectionSortSerial,SelectionSort,SERIAL,1,5000,RANDOM,3,4892403,4.892403,true
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,RANDOM,3,33915098,33.915098,true
SelectionSortParallel,SelectionSort,PARALLEL,4,5000,RANDOM,3,36547720,36.547720,true
SelectionSortParallel,SelectionSort,PARALLEL,8,5000,RANDOM,3,73775908,73.775908,true
SelectionSortParallel,SelectionSort,PARALLEL,16,5000,RANDOM,3,97483002,97.483002,true
SelectionSortSerial,SelectionSort,SERIAL,1,5000,RANDOM,4,5408110,5.408110,true
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,RANDOM,4,35265268,35.265268,true
SelectionSortParallel,SelectionSort,PARALLEL,4,5000,RANDOM,4,42945857,42.945857,true
SelectionSortParallel,SelectionSort,PARALLEL,8,5000,RANDOM,4,82914623,82.914623,true
SelectionSortParallel,SelectionSort,PARALLEL,16,5000,RANDOM,4,73637440,73.637440,true
SelectionSortSerial,SelectionSort,SERIAL,1,5000,RANDOM,5,5010422,5.010422,true
SelectionSortParallel,SelectionSort,PARALLEL,2,5000,RANDOM,5,33607634,33.607634,true
SelectionSortParallel,SelectionSort,PARALLEL,4,5000,RANDOM,5,59123474,59.123474,true
SelectionSortParallel,SelectionSort,PARALLEL,8,5000,RANDOM,5,55950183,55.950183,true
SelectionSortParallel,SelectionSort,PARALLEL,16,5000,RANDOM,5,76110943,76.110943,true
SelectionSortSerial,SelectionSort,SERIAL,1,10000,RANDOM,1,19055972,19.055972,true
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,RANDOM,1,76391499,76.391499,true
SelectionSortParallel,SelectionSort,PARALLEL,4,10000,RANDOM,1,82353527,82.353527,true
SelectionSortParallel,SelectionSort,PARALLEL,8,10000,RANDOM,1,100374209,100.374209,true
SelectionSortParallel,SelectionSort,PARALLEL,16,10000,RANDOM,1,168787958,168.787958,true
SelectionSortSerial,SelectionSort,SERIAL,1,10000,RANDOM,2,18964139,18.964139,true
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,RANDOM,2,78859291,78.859291,true
SelectionSortParallel,SelectionSort,PARALLEL,4,10000,RANDOM,2,86714925,86.714925,true
SelectionSortParallel,SelectionSort,PARALLEL,8,10000,RANDOM,2,124111400,124.111400,true
SelectionSortParallel,SelectionSort,PARALLEL,16,10000,RANDOM,2,199031611,199.031611,true
SelectionSortSerial,SelectionSort,SERIAL,1,10000,RANDOM,3,20648605,20.648605,true
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,RANDOM,3,97648739,97.648739,true
SelectionSortParallel,SelectionSort,PARALLEL,4,10000,RANDOM,3,91315862,91.315862,true
SelectionSortParallel,SelectionSort,PARALLEL,8,10000,RANDOM,3,142296066,142.296066,true
SelectionSortParallel,SelectionSort,PARALLEL,16,10000,RANDOM,3,184528205,184.528205,true
SelectionSortSerial,SelectionSort,SERIAL,1,10000,RANDOM,4,23875674,23.875674,true
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,RANDOM,4,74372553,74.372553,true
SelectionSortParallel,SelectionSort,PARALLEL,4,10000,RANDOM,4,79270279,79.270279,true
SelectionSortParallel,SelectionSort,PARALLEL,8,10000,RANDOM,4,117905940,117.905940,true
SelectionSortParallel,SelectionSort,PARALLEL,16,10000,RANDOM,4,142188658,142.188658,true
SelectionSortSerial,SelectionSort,SERIAL,1,10000,RANDOM,5,18986343,18.986343,true
SelectionSortParallel,SelectionSort,PARALLEL,2,10000,RANDOM,5,86542694,86.542694,true
SelectionSortParallel,SelectionSort,PARALLEL,4,10000,RANDOM,5,89866094,89.866094,true
SelectionSortParallel,SelectionSort,PARALLEL,8,10000,RANDOM,5,109430357,109.430357,true
SelectionSortParallel,SelectionSort,PARALLEL,16,10000,RANDOM,5,173723692,173.723692,true
