algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms_parallel,std_time_ms,samples,mean_time_ms_serial,speedup,efficiency
MergeSortParallel,MergeSort,PARALLEL,8,50000,RANDOM,2.4744882,0.42877425227466737,5,5.939388599999999,2.400249312160793,0.3000311640200991
MergeSortParallel,MergeSort,PARALLEL,8,50000,REVERSED,1.3175868,0.44068410678704983,5,2.4559781999999997,1.863997271375214,0.23299965892190175
MergeSortParallel,MergeSort,PARALLEL,8,50000,SORTED,0.8281606,0.12105861591931401,5,1.215257,1.4674170686217143,0.18342713357771429
MergeSortParallel,MergeSort,PARALLEL,8,100000,NEARLY_SORTED,2.2013648,0.42391167398964136,5,5.3020548000000005,2.408530744200144,0.301066343025018
MergeSortParallel,MergeSort,PARALLEL,8,100000,RANDOM,4.4777656,0.475555780173893,5,11.3354494,2.5314968251129537,0.3164371031391192
MergeSortParallel,MergeSort,PARALLEL,8,100000,REVERSED,1.4397183999999998,0.08668793541375876,5,2.8088851999999997,1.9509962503778517,0.24387453129723147
MergeSortParallel,MergeSort,PARALLEL,8,100000,SORTED,1.6789222,0.5766860275615319,5,2.738219,1.6309385866718542,0.20386732333398178
MergeSortParallel,MergeSort,PARALLEL,8,500000,NEARLY_SORTED,7.6443028,1.9503089437196102,5,15.867114599999999,2.075678451669915,0.2594598064587394
MergeSortParallel,MergeSort,PARALLEL,8,500000,RANDOM,18.0460626,2.9378950369829924,5,54.0652544,2.9959584868114115,0.37449481085142644
MergeSortParallel,MergeSort,PARALLEL,8,500000,REVERSED,5.716082,0.6812384604541938,5,13.8362584,2.4205843093223645,0.30257303866529556
MergeSortParallel,MergeSort,PARALLEL,8,500000,SORTED,5.9109752,1.5200798329062197,5,13.246366,2.2409781045943147,0.28012226307428933
MergeSortParallel,MergeSort,PARALLEL,16,10000,NEARLY_SORTED,1.0667114,0.24162643159596595,5,0.7455314,0.6989063771138098,0.04368164856961311
MergeSortParallel,MergeSort,PARALLEL,16,10000,RANDOM,1.2345634,0.052185548366382006,5,1.1984166,0.9707209852487122,0.06067006157804451
MergeSortParallel,MergeSort,PARALLEL,16,10000,REVERSED,0.5562148,0.11097104103188363,5,0.2891804,0.5199077766359327,0.03249423603974579
MergeSortParallel,MergeSort,PARALLEL,16,10000,SORTED,0.4531932,0.01547781052668627,5,0.1966132,0.4338396957412423,0.027114980983827645
MergeSortParallel,MergeSort,PARALLEL,16,50000,NEARLY_SORTED,5.154947,7.0333214005362,5,2.8601466,0.5548353067451518,0.03467720667157199
MergeSortParallel,MergeSort,PARALLEL,16,50000,RANDOM,2.6671357999999996,0.4617626917207583,5,5.939388599999999,2.22687896131873,0.13917993508242063
MergeSortParallel,MergeSort,PARALLEL,16,50000,REVERSED,1.3686064,0.43500094548609886,5,2.4559781999999997,1.7945102404898878,0.11215689003061799
MergeSortParallel,MergeSort,PARALLEL,16,50000,SORTED,0.7984906,0.0518968233642484,5,1.215257,1.5219427755317345,0.09512142347073341
MergeSortParallel,MergeSort,PARALLEL,16,100000,NEARLY_SORTED,2.45742,0.5233447667088112,5,5.3020548000000005,2.1575696462143226,0.13484810288839516
MergeSortParallel,MergeSort,PARALLEL,16,100000,RANDOM,5.8134002,2.0698037515123744,5,11.3354494,1.9498828585721657,0.12186767866076036
MergeSortParallel,MergeSort,PARALLEL,16,100000,REVERSED,1.508823,0.392833959906727,5,2.8088851999999997,1.8616399670471617,0.11635249794044761
