algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms,std_time_ms,samples
QuickSortParallel,QuickSort,PARALLEL,2,10000,REVERSED,0.5641681999999999,0.07893902697778836,5
QuickSortParallel,QuickSort,PARALLEL,2,10000,SORTED,0.3304394,0.05393470069723202,5
QuickSortParallel,QuickSort,PARALLEL,2,50000,NEARLY_SORTED,3.4160204,1.0189847605731404,5
QuickSortParallel,QuickSort,PARALLEL,2,50000,RANDOM,3.325662,0.44712327956783904,5
QuickSortParallel,QuickSort,PARALLEL,2,50000,REVERSED,2.3944707999999997,0.5829860391477655,5
QuickSortParallel,QuickSort,PARALLEL,2,50000,SORTED,0.9836145999999999,0.23085036715868576,5
QuickSortParallel,QuickSort,PARALLEL,2,100000,NEARLY_SORTED,4.772144,1.1527109647797664,5
QuickSortParallel,QuickSort,PARALLEL,2,100000,RANDOM,6.0817076,1.1803965647435188,5
QuickSortParallel,QuickSort,PARALLEL,2,100000,REVERSED,3.4068888,0.8778348821627561,5
QuickSortParallel,QuickSort,PARALLEL,2,100000,SORTED,1.2407325999999999,0.32272553591139946,5
QuickSortParallel,QuickSort,PARALLEL,2,500000,NEARLY_SORTED,15.564365800000001,4.368001679181764,5
QuickSortParallel,QuickSort,PARALLEL,2,500000,RANDOM,21.366590000000002,0.7487090915198642,5
QuickSortParallel,QuickSort,PARALLEL,2,500000,REVERSED,12.2294046,3.366285414687427,5
QuickSortParallel,QuickSort,PARALLEL,2,500000,SORTED,5.17849,1.2786977033644427,5
QuickSortParallel,QuickSort,PARALLEL,4,10000,NEARLY_SORTED,0.8167248,0.24402308453136148,5
QuickSortParallel,QuickSort,PARALLEL,4,10000,RANDOM,1.1922592,0.16232970094132496,5
QuickSortParallel,QuickSort,PARALLEL,4,10000,REVERSED,0.5248106,0.12340709098264978,5
QuickSortParallel,QuickSort,PARALLEL,4,10000,SORTED,0.3135538,0.014546868845218918,5
QuickSortParallel,QuickSort,PARALLEL,4,50000,NEARLY_SORTED,2.2700248000000003,0.32957054849106276,5
QuickSortParallel,QuickSort,PARALLEL,4,50000,RANDOM,2.6833486,0.668833700389566,5
QuickSortParallel,QuickSort,PARALLEL,4,50000,REVERSED,1.603313,0.25412415135126365,5
QuickSortParallel,QuickSort,PARALLEL,4,50000,SORTED,0.7102554000000001,0.04989315548549721,5
QuickSortParallel,QuickSort,PARALLEL,4,100000,NEARLY_SORTED,5.2986813999999995,2.5248739691210926,5
